Tipo esercizio pa;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Prevalente;Superficie altri usi;Superficie lavorativa
Parrucchiere per signora;"VIA ARICI CESARE N. 3 ; (z.d. 2)";VIA;ARICI CESARE;3;2464;2;;;15
Parrucchiere per signora;"VIA ARISTOTELE N. 15 ; (z.d. 2)";VIA;ARISTOTELE;15;2488;2;;;18
Parrucchiere per signora;"VIA ARISTOTELE N. 39 ; (z.d. 2)";VIA;ARISTOTELE;39;2488;2;;;
Parrucchiere per signora;"VIA ARISTOTELE N. 67 ; (z.d. 2)";VIA;ARISTOTELE;67;2488;2;;2;43
Parrucchiere per signora;"VIA ARNO' RICCARDO N. 6 ; (z.d. 3)";VIA;ARNO' RICCARDO;6;3230;3;;;17
Parrucchiere per signora;"VIA ARQUA' N. 14 ; (z.d. 2)";VIA;ARQUA';14;2366;2;;8;16
Parrucchiere per signora;"VIA ARSIA N. 7 interno 21; (z.d. 8)";VIA;ARSIA;7;7472;8;;;31
Parrucchiere per signora;"VIA ARZAGA N. 24 ; (z.d. 6)";VIA;ARZAGA;24;6674;6;;23;
Parrucchiere per signora;"VIA ASIAGO N. 116 ; (z.d. 2)";VIA;ASIAGO;116;2459;2;;;29
Parrucchiere per signora;"VIA ASIAGO N. 68 ; (z.d. 2)";VIA;ASIAGO;68;2459;2;;4;52
Parrucchiere per signora;"VIA ASTESANI ALESSANDRO N. 2 ; (z.d. 9)";VIA;ASTESANI ALESSANDRO;2;1558;9;;5;20
Parrucchiere per signora;"VIA BALDINUCCI FILIPPO N. 102 ; (z.d. 9)";VIA;BALDINUCCI FILIPPO;102;1267;9;;;
Parrucchiere per signora;"VIA BALDINUCCI FILIPPO N. 14 ; (z.d. 9)";VIA;BALDINUCCI FILIPPO;14;1267;9;;;
Parrucchiere per signora;"VIA BALILLA N. 14 ; (z.d. 5)";VIA;BALILLA;14;5207;5;;18;20
Parrucchiere per signora;"VIA BARABINO NICOLO' N. 7 ; (z.d. 4)";VIA;BARABINO NICOLO';7;4287;4;;;25
Parrucchiere per signora;"VIA BARDELLI GIUSEPPE N. 12 ; (z.d. 3)";VIA;BARDELLI GIUSEPPE;12;2578;3;;;18
Parrucchiere per signora;"VIA BARI N. 2 ; (z.d. 6)";VIA;BARI;2;5218;6;;;25
Parrucchiere per signora;"VIA BARI num.011e; (z.d. 6)";VIA;BARI;;5218;6;;14;28
Parrucchiere per signora;"VIA BARONI COSTANTINO N. 172 ; (z.d. 5)";VIA;BARONI COSTANTINO;172;5422;5;;3;12
Parrucchiere per signora;"VIA BARONI COSTANTINO num.198f; (z.d. 5)";VIA;BARONI COSTANTINO;;5422;5;;2;30
Parrucchiere per signora;"VIA BASSI PAOLO N. 22 ; (z.d. 9)";VIA;BASSI PAOLO;22;1320;9;;;
Parrucchiere per signora;"VIA BATTISTI CESARE N. 8 ; (z.d. 1)";VIA;BATTISTI CESARE;8;3019;1;;5;56
Parrucchiere per signora;"VIA BATTISTOTTI SASSI LUISA N. 12 ; (z.d. 4)";VIA;BATTISTOTTI SASSI LUISA;12;3273;4;;;57
Parrucchiere per signora;"VIA BATTISTOTTI SASSI LUISA N. 8 ; (z.d. 4)";VIA;BATTISTOTTI SASSI LUISA;8;3273;4;;;52
Parrucchiere per signora;"VIA BAZZINI ANTONIO N. 27 ; (z.d. 3)";VIA;BAZZINI ANTONIO;27;2427;3;;;32
Parrucchiere per signora;"VIA BELINZAGHI GIULIO N. 4 ; (z.d. 9)";VIA;BELINZAGHI GIULIO;4;1318;9;;;40
Parrucchiere per signora;"VIA BELLARMINO ROBERTO N. 25 ; (z.d. 5)";VIA;BELLARMINO ROBERTO;25;5337;5;;13;28
Parrucchiere per signora;"VIA BELLERIO CARLO N. 22 ; (z.d. 9)";VIA;BELLERIO CARLO;22;1551;9;;;20
Parrucchiere per signora;"VIA BELLEZZA GIOVANNI N. 12 ; (z.d. 5)";VIA;BELLEZZA GIOVANNI;12;4067;5;;;71
Parrucchiere per signora;"VIA BELLINI GENTILE N. 10 ; (z.d. 6)";VIA;BELLINI GENTILE;10;5387;6;;;
Parrucchiere per signora;"VIA BENACO N. 26 ; (z.d. 5)";VIA;BENACO;26;4143;5;;;17
Parrucchiere per signora;"VIA BENEFATTORI DELL'OSPEDALE N. 1 ; (z.d. 9)";VIA;BENEFATTORI DELL'OSPEDALE;1;1522;9;;;
Parrucchiere per signora;"VIA BERGAMO N. 8 ; (z.d. 4)";VIA;BERGAMO;8;3189;4;;;17
Parrucchiere per signora;"VIA BERTANI AGOSTINO N. 14 ; (z.d. 1)";VIA;BERTANI AGOSTINO;14;7112;1;;;
Parrucchiere per signora;"VIA BERTELLI LUIGI num.002a; (z.d. 2)";VIA;BERTELLI LUIGI;;2358;2;;;30
Parrucchiere per signora;"VIA BERUTO CESARE N. 13 ; (z.d. 3)";VIA;BERUTO CESARE;13;2586;3;;;35
Parrucchiere per signora;"VIA BETTI UGO num.161b; (z.d. 8)";VIA;BETTI UGO;;7517;8;;2;35
Parrucchiere per signora;"VIA BEZZECCA N. 1 ; (z.d. 4)";VIA;BEZZECCA;1;3075;4;;;27
Parrucchiere per signora;"VIA BIANCHI MOSE' N. 26 ; (z.d. 7)";VIA;BIANCHI MOSE';26;6385;7;;;
Parrucchiere per signora;"VIA BINDA AMBROGIO N. 5 ; (z.d. 6)";VIA;BINDA AMBROGIO;5;5298;6;;3;35
Parrucchiere per signora;VIA BINDA AMBROGIO N. 9 (z.d. 6);VIA;BINDA AMBROGIO;9;5298;6;;13;39
Parrucchiere per signora;"VIA BIONDI EZIO N. 5 ; (z.d. 8)";VIA;BIONDI EZIO;5;7186;8;;12;17
Parrucchiere per signora;"VIA BIRAGHI LUIGI N. 11 ; (z.d. 9)";VIA;BIRAGHI LUIGI;11;1332;9;;;
Parrucchiere per signora;"VIA BISI ALBINI SOFIA N. 4 ; (z.d. 2)";VIA;BISI ALBINI SOFIA;4;1349;2;;;17
Parrucchiere per signora;"VIA BISLERI FELICE N. 11 ; (z.d. 7)";VIA;BISLERI FELICE;11;6501;7;;3;80
Parrucchiere per signora;"VIA BIXIO NINO N. 12 ; (z.d. 3)";VIA;BIXIO NINO;12;3133;3;;4;50
Parrucchiere per signora;"VIA BOCCACCIO GIOVANNI num.015a; (z.d. 1)";VIA;BOCCACCIO GIOVANNI;;6158;1;;4;80
Parrucchiere per signora;"VIA BONCOMPAGNI CARLO N. 10 ; (z.d. 4)";VIA;BONCOMPAGNI CARLO;10;4182;4;;4;21
Parrucchiere per signora;"VIA BONCOMPAGNI CARLO N. 36 ; (z.d. 4)";VIA;BONCOMPAGNI CARLO;36;4182;4;;;29
Parrucchiere per signora;"VIA BONFADINI ROMUALDO N. 80 ; (z.d. 4)";VIA;BONFADINI ROMUALDO;80;3341;4;;3;18
Parrucchiere per signora;"VIA BONFADINI ROMUALDO N. 89 ; (z.d. 4)";VIA;BONFADINI ROMUALDO;89;3341;4;;;
Parrucchiere per signora;"VIA BONGHI RUGGERO N. 16 ; (z.d. 5)";VIA;BONGHI RUGGERO;16;5247;5;;1;36
Parrucchiere per signora;"VIA BONI GIACOMO N. 16 ; (z.d. 7)";VIA;BONI GIACOMO;16;6098;7;;;18
Parrucchiere per signora;"VIA BONI GIACOMO N. 25 ; (z.d. 7)";VIA;BONI GIACOMO;25;6098;7;;4;24
Parrucchiere per signora;"VIA BONI GIACOMO N. 33 ; (z.d. 7)";VIA;BONI GIACOMO;33;6098;7;;;
Parrucchiere per signora;"VIA BONI GIACOMO N. 39 ; (z.d. 7)";VIA;BONI GIACOMO;39;6098;7;;;33
Parrucchiere per signora;"VIA BONI GIACOMO N. 45 ; (z.d. 7)";VIA;BONI GIACOMO;45;6098;7;;12;25
Parrucchiere per signora;"VIA BORDONI ANTONIO N. 12 ; (z.d. 9)";VIA;BORDONI ANTONIO;12;1180;9;;11;16
Parrucchiere per signora;"VIA BORSIERI PIETRO N. 29 ; (z.d. 9)";VIA;BORSIERI PIETRO;29;1128;9;;;108
Parrucchiere per signora;"VIA BOSCOVICH RUGGERO N. 61 ; (z.d. 3)";VIA;BOSCOVICH RUGGERO;61;2131;3;;;
Parrucchiere per signora;"VIA BOTTA CARLO N. 4 ; (z.d. 4)";VIA;BOTTA CARLO;4;4069;4;;;59
Parrucchiere per signora;"VIA BRACCIO DA MONTONE N. 2 ; (z.d. 1)";VIA;BRACCIO DA MONTONE;2;7128;1;;;
Parrucchiere per signora;"VIA BRAMANTE N. 14 ; (z.d. 1)";VIA;BRAMANTE;14;7123;1;;;16
Parrucchiere per signora;"VIA BRAMANTE N. 7 ; (z.d. 1)";VIA;BRAMANTE;7;7123;1;;;34
Parrucchiere per signora;"VIA BRA' N. 14 ; (z.d. 3)";VIA;BRA';14;2542;3;;3;11
Parrucchiere per signora;"VIA BRISA N. 15 ; (z.d. 1)";VIA;BRISA;15;637;1;;;21
Parrucchiere per signora;"VIA BROGGI GIUSEPPE N. 15 ; (z.d. 3)";VIA;BROGGI GIUSEPPE;15;2150;3;;6;30
Parrucchiere per signora;"VIA BRONZINO N. 21 ; (z.d. 3)";VIA;BRONZINO;21;2191;3;;;28
Parrucchiere per signora;"VIA BRUNACCI VINCENZO N. 10 ; (z.d. 5)";VIA;BRUNACCI VINCENZO;10;5241;5;;;40
Parrucchiere per signora;"VIA BRUNO GIORDANO N. 6 ; (z.d. 1)";VIA;BRUNO GIORDANO;6;7130;1;;;18
Parrucchiere per signora;"VIA BRUZZESI GIACINTO N. 2 ; (z.d. 6)";VIA;BRUZZESI GIACINTO;2;5388;6;;11;28
Parrucchiere per signora;"VIA BUDUA N. 8 con ingresso via veglia; (z.d. 9)";VIA;BUDUA;8;1342;9;;;26
Parrucchiere per signora;"VIA BUONARROTI MICHELANGELO N. 15 ; (z.d. 7)";VIA;BUONARROTI MICHELANGELO;15;6253;7;;;130
Parrucchiere per signora;"VIA BUSCHI AVERARDO N. 25 ; (z.d. 6)";VIA;BUSCHI AVERARDO;25;2575;3;;;18
Parrucchiere per signora;"VIA CABELLA BARTOLOMEO num.009a; (z.d. 7)";VIA;DELLE BETULLE;;6828;7;;;40
Parrucchiere per signora;"VIA CADIBONA N. 8 ; (z.d. 4)";VIA;CADIBONA;8;3339;4;;;22
Parrucchiere per signora;"VIA CAGLIERO GIOVANNI N. 6 ; (z.d. 2)";VIA;CAGLIERO GIOVANNI;6;1407;2;;;16
Parrucchiere per signora;"VIA CAGLIERO GIOVANNI N. 7 ; (z.d. 2)";VIA;CAGLIERO GIOVANNI;7;1407;2;;;
Parrucchiere per signora;"VIA CAGNOLA LUIGI N. 7 ; (z.d. 1)";VIA;CAGNOLA LUIGI;7;7228;1;;;45
Parrucchiere per signora;"VIA CALDERA num.111a; (z.d. 7)";VIA;GIOVIO PAOLO;4;6194;7;;;
Parrucchiere per signora;"VIA CALIFORNIA N. 14 ; (z.d. 7)";VIA;CALIFORNIA;14;6101;7;;10;18
Parrucchiere per signora;"VIA CALZECCHI TEMISTOCLE N. 2 ang.via amadeo; (z.d. 3)";VIA;CALZECCHI TEMISTOCLE;2;3241;3;;4;42
Parrucchiere per signora;"VIA CAMERINI EUGENIO N. 7 ; (z.d. 3)";VIA;CAMERINI EUGENIO;7;2551;3;;7;55
Parrucchiere per signora;"VIA CAMINADELLA N. 9 ; (z.d. 1)";VIA;CAMINADELLA;9;551;1;;4;50
Parrucchiere per signora;"VIA CANNERO N. 15 ; (z.d. 9)";VIA;CANNERO;15;1506;9;;;
Parrucchiere per signora;"VIA CANTONI COSTANZO N. 11 ; (z.d. 9)";VIA;CANTONI COSTANZO;11;1234;9;;;20
Parrucchiere per signora;"VIA CAPECELATRO ALFONSO N. 35 ; (z.d. 7)";VIA;CAPECELATRO ALFONSO;35;6575;7;;;16
Parrucchiere per signora;"VIA CAPECELATRO ALFONSO N. 61 ; (z.d. 7)";VIA;CAPECELATRO ALFONSO;61;6575;7;;;23
Parrucchiere per signora;"VIA CAPECELATRO ALFONSO N. 87 ; (z.d. 7)";VIA;CAPECELATRO ALFONSO;87;6575;7;;;120
Parrucchiere per signora;"VIA CAPPONI PIER LUIGI N. 1 ; (z.d. 7)";VIA;CAPPONI PIER LUIGI;1;6249;7;;;
Parrucchiere per signora;"VIA CAPPONI PIER LUIGI N. 4 ; (z.d. 7)";VIA;CAPPONI PIER LUIGI;4;6249;7;;;32
Parrucchiere per signora;"VIA CARABELLI RODOLFO N. 11 ; (z.d. 4)";VIA;CARABELLI RODOLFO;11;4096;4;;11;53
Parrucchiere per signora;"VIA CARACCIOLO FRANCESCO N. 92 ; (z.d. 8)";VIA;CARACCIOLO FRANCESCO;92;7182;8;;;45
Parrucchiere per signora;"VIA CARCANO GIULIO N. 4 ; (z.d. 5)";VIA;CARCANO GIULIO;4;5248;5;;1;34
Parrucchiere per signora;"VIA CARCANO GIULIO num.0613; (z.d. 5)";VIA;CARCANO GIULIO;;5248;5;;6;22
Parrucchiere per signora;"VIA CARDINALE MEZZOFANTI N. 2 ; (z.d. 4)";VIA;CARDINALE MEZZOFANTI;2;3277;4;;3;32
Parrucchiere per signora;"VIA CARDUCCI GIOSUE' N. 27 ; (z.d. 1)";VIA;CARDUCCI GIOSUE';27;602;1;ACCONCIATORE;42;52
Parrucchiere per signora;"VIA CARDUCCI GIOSUE' N. 38 ; (z.d. 1)";VIA;CARDUCCI GIOSUE';38;602;1;;;
Parrucchiere per signora;"VIA CARLI GIAN RINALDO N. 15 ; (z.d. 9)";VIA;CARLI GIAN RINALDO;15;1563;9;;28;18
Parrucchiere per signora;"VIA CARLONE CARLO ANTONIO N. 4 ; (z.d. 6)";VIA;CARLONE CARLO ANTONIO;4;6846;6;;;
Parrucchiere per signora;"VIA CARNEVALI ANTONIO N. 74 ; (z.d. 9)";VIA;CARNEVALI ANTONIO;74;1268;9;;;
Parrucchiere per signora;"VIA CARNIA N. 31 ; (z.d. 3)";VIA;CARNIA;31;2395;3;;;29
Parrucchiere per signora;"VIA CARNIA N. 7 ; (z.d. 3)";VIA;CARNIA;7;2395;3;;;27
Parrucchiere per signora;"VIA CARONCINI ALBERTO N. 1 ; (z.d. 4)";VIA;CARONCINI ALBERTO;1;4093;4;;;26
Parrucchiere per signora;"VIA CARROCCIO N. 3 ; (z.d. 1)";VIA;CARROCCIO;3;5094;1;;;46
Parrucchiere per signora;"VIA CASCINA BAROCCO N. 4 2 locali; (z.d. 7)";VIA;CASCINA BAROCCO;4;6695;7;;;27
Parrucchiere per signora;"VIA CASCINA BAROCCO N. 9 ; (z.d. 7)";VIA;CASCINA BAROCCO;9;6695;7;;32;48
Parrucchiere per signora;"VIA CASCINA BIANCA N. 16 ; (z.d. 6)";VIA;CASCINA BIANCA;16;5454;6;;3;43
Parrucchiere per signora;"VIA CASORETTO N. 1 ; (z.d. 3)";VIA;CASORETTO;1;2420;3;;9;20
Parrucchiere per signora;"VIA CASORETTO N. 37 ; (z.d. 3)";VIA;CASORETTO;37;2420;3;;;
Parrucchiere per signora;"VIA CASORETTO N. 7 ; (z.d. 3)";VIA;CASORETTO;7;2420;3;;;37
Parrucchiere per signora;"VIA CASTALDI PANFILO N. 23 ; (z.d. 3)";VIA;CASTALDI PANFILO;23;2119;3;;;33
Parrucchiere per signora;"VIA CASTALDI PANFILO N. 38 ; (z.d. 3)";VIA;CASTALDI PANFILO;38;2119;3;;;
Parrucchiere per signora;"VIA CASTALDI PANFILO N. 42 ; (z.d. 3)";VIA;CASTALDI PANFILO;42;2119;3;;;83
Parrucchiere per signora;"VIA CASTEL MORRONE N. 18 ; (z.d. 3)";VIA;CASTEL MORRONE;18;3185;3;;;67
Parrucchiere per signora;"VIA CATALANI ALFREDO N. 35 ; (z.d. 3)";VIA;CATALANI ALFREDO;35;2425;3;;4;30
Parrucchiere per signora;"VIA CAVALCANTI GUIDO N. 1 ; (z.d. 2)";VIA;CAVALCANTI GUIDO;1;2286;2;;;53
Parrucchiere per signora;"VIA CELIO N. 2 ; (z.d. 7)";VIA;CELIO;2;6623;7;;31;35
Parrucchiere per signora;"VIA CENISIO N. 23 ; (z.d. 8)";VIA;CENISIO;23;7184;8;;6;81
Parrucchiere per signora;"VIA CENISIO N. 23 ; (z.d. 8)";VIA;CENISIO;23;7184;8;;;
Parrucchiere per signora;"VIA CENISIO N. 40 ; (z.d. 8)";VIA;CENISIO;40;7184;8;;;40
Parrucchiere per signora;"VIA CENISIO N. 42 ; (z.d. 8)";VIA;CENISIO;42;7184;8;;;26
Parrucchiere per signora;"VIA CENISIO N. 53 ; (z.d. 8)";VIA;CENISIO;53;7184;8;;;92
Parrucchiere per signora;"VIA CENISIO N. 62 ; (z.d. 8)";VIA;CENISIO;62;7184;8;;3;41
Parrucchiere per signora;"VIA CENISIO num.0767; (z.d. 8)";VIA;CENISIO;53;7184;8;;;28
Parrucchiere per signora;"VIA CESARE DA SESTO N. 8 ; (z.d. 1)";VIA;CESARE DA SESTO;8;5101;1;;;24
Parrucchiere per signora;"VIA CESARIANO CESARE N. 11 piano primo; (z.d. 1)";VIA;CESARIANO CESARE;11;7113;1;;;56
Parrucchiere per signora;"VIA CESARIANO CESARE N. 9 ; (z.d. 1)";VIA;CESARIANO CESARE;9;7113;1;;;35
Parrucchiere per signora;"VIA CESARI ANTONIO N. 43 ; (z.d. 9)";VIA;CESARI ANTONIO;43;1603;9;;;17
Parrucchiere per signora;"VIA CHIANCIANO N. 6 ; (z.d. 9)";VIA;CHIANCIANO;6;1488;9;;;89
Parrucchiere per signora;"VIA CHIANCIANO num.0102; (z.d. 9)";VIA;POPULONIA;8;1315;9;;;
Parrucchiere per signora;"VIA CHINOTTO EDOARDO N. 32 ; (z.d. 7)";VIA;CHINOTTO EDOARDO;32;6631;7;;;
Parrucchiere per signora;"VIA CHIOGGIA N. 1 ; (z.d. 2)";VIA;CHIOGGIA;1;2317;2;;;27
Parrucchiere per signora;"VIA CICERI VISCONTI LAURA N. 14 ; (z.d. 4)";VIA;CICERI VISCONTI LAURA;14;3220;4;;;36
Parrucchiere per signora;"VIA CILEA FRANCESCO N. 158 ; (z.d. 8)";VIA;CILEA FRANCESCO;158;7526;8;;;20
Parrucchiere per signora;"VIA CIMABUE GIOVANNI N. 19 ; (z.d. 8)";VIA;CIMABUE GIOVANNI;19;6466;8;;11;14
Parrucchiere per signora;"VIA CIMAROSA DOMENICO num.003a; (z.d. 6)";VIA;BOBBIO;2;5107;6;;15;40
Parrucchiere per signora;"VIA CINO DA PISTOIA N. 9 ; (z.d. 9)";VIA;CINO DA PISTOIA;9;1445;9;;2;45
Parrucchiere per signora;"VIA CINQUE MAGGIO N. 11 ; (z.d. 8)";VIA;CINQUE MAGGIO;11;7459;8;;;
Parrucchiere per signora;"VIA CIVITALI MATTEO N. 40 ; (z.d. 7)";VIA;CIVITALI MATTEO;40;6569;7;;4;18
Parrucchiere per signora;"VIA CIVITALI MATTEO N. 42 ; (z.d. 7)";VIA;CIVITALI MATTEO;42;6569;7;;;18
Parrucchiere per signora;"VIA COLA DI RIENZO N. 12 al piano rialzato; (z.d. 6)";VIA;COLA DI RIENZO;12;6094;6;;;41
Parrucchiere per signora;"VIA COLA MONTANO N. 40 ; (z.d. 9)";VIA;COLA MONTANO;40;1139;9;;;29
Parrucchiere per signora;"VIA COLLECCHIO N. 2 ; (z.d. 8)";VIA;COLLECCHIO;2;6459;8;;4;30
Parrucchiere per signora;"VIA CONCA DEL NAVIGLIO N. 5 ; (z.d. 1)";VIA;CONCA DEL NAVIGLIO;5;5180;1;;14;21
Parrucchiere per signora;"VIA CONCHETTA N. 4 ; (z.d. 5)";VIA;CONCHETTA;4;5239;5;;;32
Parrucchiere per signora;"VIA CONSOLE MARCELLO N. 14 ; (z.d. 8)";VIA;CONSOLE MARCELLO;14;7278;8;;;43
Parrucchiere per signora;"VIA CORREGGIO N. 57 ; (z.d. 7)";VIA;CORREGGIO;57;6287;7;;;
Parrucchiere per signora;"VIA CORREGGIO N. 63 ; (z.d. 7)";VIA;CORREGGIO;63;6287;7;;14;26
Parrucchiere per signora;"VIA CORREGGIO N. 69 ; (z.d. 7)";VIA;CORREGGIO;69;6287;7;;4;20
Parrucchiere per signora;"VIA CREMA N. 29 ; (z.d. 5)";VIA;CREMA;29;4061;5;;;
Parrucchiere per signora;"VIA CREMA N. 6 ; (z.d. 5)";VIA;CREMA;6;4061;5;;;32
Parrucchiere per signora;"VIA CRESCENZAGO N. 28 ; (z.d. 3)";VIA;CRESCENZAGO;28;2396;3;;;24
Parrucchiere per signora;"VIA CRESPI PIETRO N. 17 ; (z.d. 2)";VIA;CRESPI PIETRO;17;2296;2;;;43
Parrucchiere per signora;"VIA CUCCHIARI DOMENICO N. 15 interno; (z.d. 8)";VIA;CUCCHIARI DOMENICO;15;7224;8;;;
Parrucchiere per signora;"VIA CUCCHIARI DOMENICO N. 7 ; (z.d. 8)";VIA;CUCCHIARI DOMENICO;7;7224;8;;;24
Parrucchiere per signora;"VIA CUZZI GIUSEPPE N. 16 ; (z.d. 8)";VIA;CUZZI GIUSEPPE;16;7258;8;;;17
Parrucchiere per signora;"VIA DAL RE MARCANTONIO N. 13 ; (z.d. 8)";VIA;DAL RE MARCANTONIO;13;7381;8;;;22
Parrucchiere per signora;"VIA DAVANZATI BERNARDO N. 2 ; (z.d. 9)";VIA;DAVANZATI BERNARDO;2;1284;9;;;
Parrucchiere per signora;"VIA DE AMICIS EDMONDO N. 7 ; (z.d. 1)";VIA;DE AMICIS EDMONDO;7;574;1;;;
Parrucchiere per signora;"VIA DEGLI ARCIMBOLDI num.004; (z.d. 1)";VIA;DEGLI ARCIMBOLDI;;522;1;;1;16
Parrucchiere per signora;"VIA DEGLI ETRUSCHI N. 5 ; (z.d. 4)";VIA;DEGLI ETRUSCHI;5;3227;4;;;13
Parrucchiere per signora;"VIA DEGLI IMBRIANI N. 40 ; (z.d. 9)";VIA;DEGLI IMBRIANI;40;1266;9;;;
Parrucchiere per signora;"VIA DEGLI UMILIATI N. 9 ; (z.d. 4)";VIA;DEGLI UMILIATI;9;3347;4;;9;17
Parrucchiere per signora;"VIA DEGLI ZUCCARO N. 2 ; (z.d. 6)";VIA;DEGLI ZUCCARO;2;5390;6;;2;19
Parrucchiere per signora;"VIA DEI BIANCOSPINI N. 3 ; (z.d. 6)";VIA;DEI BIANCOSPINI;3;6711;6;;10;25
Parrucchiere per signora;"VIA DEI CARAFA N. 14 ; (z.d. 9)";VIA;DEI CARAFA;14;1504;9;;;
Parrucchiere per signora;"VIA DEI CINQUECENTO N. 19 interno casa di riposo; (z.d. 4)";VIA;DEI CINQUECENTO;19;4283;4;;;13
Parrucchiere per signora;"VIA DEI CINQUECENTO N. 27 ; (z.d. 4)";VIA;DEI CINQUECENTO;27;4283;4;;;22
Parrucchiere per signora;"VIA DEI CINQUECENTO N. 3 ; (z.d. 4)";VIA;DEI CINQUECENTO;3;4283;4;;;34
Parrucchiere per signora;"VIA DEI FIORDALISI N. 4 ; (z.d. 6)";VIA;DEI FIORDALISI;4;6710;6;;;21
Parrucchiere per signora;"VIA DEI GRIMANI N. 1 ; (z.d. 6)";VIA;DEI GRIMANI;1;6097;6;;;
Parrucchiere per signora;"VIA DEI PANIGAROLA N. 2 ; (z.d. 4)";VIA;DEI PANIGAROLA;2;4284;4;;;26
Parrucchiere per signora;"VIA DEL BOLLO num.002c; (z.d. 1)";VIA;DEL BOLLO;;568;1;;;41
Parrucchiere per signora;"VIA DEL DON N. 2 ; (z.d. 1)";VIA;DEL DON;2;596;1;;4;34
Parrucchiere per signora;"VIA DEL FUSARO N. 2 ; (z.d. 7)";VIA;DEL FUSARO;2;6258;7;;;55
Parrucchiere per signora;"VIA DELLA CAPINERA N. 5 ; (z.d. 6)";VIA;DELLA CAPINERA;5;6659;6;;;30
Parrucchiere per signora;"VIA DELLA COMMENDA N. 28 ; (z.d. 1)";VIA;DELLA COMMENDA;28;3146;1;acconciatore;;
Parrucchiere per signora;"VIA DELL' ALLODOLA N. 16 ; (z.d. 6)";VIA;DELL' ALLODOLA;16;6660;6;;21;27
Parrucchiere per signora;"VIA DELLA PALLA N. 5 ; (z.d. 1)";VIA;DELLA PALLA;5;586;1;;4;22
Parrucchiere per signora;"VIA DELLA SILA N. 4 ; (z.d. 3)";VIA;DELLA SILA;4;2433;3;;;
Parrucchiere per signora;"VIA DELLA SPIGA N. 23 ; (z.d. 1)";VIA;DELLA SPIGA;23;226;1;;;55
Parrucchiere per signora;"VIA DELLA TORRE N. 1 ; (z.d. 2)";VIA;DELLA TORRE;1;2322;2;;;
Parrucchiere per signora;"VIA DELLA TORRE N. 9 ; (z.d. 2)";VIA;DELLA TORRE;9;2322;2;;;26
Parrucchiere per signora;"VIA DELLE BETULLE num.008b; (z.d. 7)";VIA;DELLE BETULLE;;6828;7;;;40
Parrucchiere per signora;"VIA DELLE ERBE N. 1 ; (z.d. 1)";VIA;DELLE ERBE;1;713;1;ACCONCIATORE;;31
Parrucchiere per signora;"VIA DELLE FORZE ARMATE N. 105 ; (z.d. 7)";VIA;DELLE FORZE ARMATE;105;6643;7;ACCONCIATORE;;
Parrucchiere per signora;"VIA DELLE FORZE ARMATE N. 376 ; (z.d. 7)";VIA;DELLE FORZE ARMATE;376;6643;7;;;
Parrucchiere per signora;"VIA DELLE FORZE ARMATE N. 43 ; (z.d. 7)";VIA;DELLE FORZE ARMATE;43;6643;7;;;24
Parrucchiere per signora;"VIA DELLE FORZE ARMATE num.393a; (z.d. 7)";VIA;MILLELIRE DOMENICO;15;6620;7;;3;35
Parrucchiere per signora;"VIA DELLE PRIMULE N. 1 ; (z.d. 6)";VIA;DELLE PRIMULE;1;6716;6;;3;40
Parrucchiere per signora;"VIA DELLE STELLINE N. 1 ; (z.d. 7)";VIA;DELLE STELLINE;1;6337;7;;35;34
Parrucchiere per signora;"VIA DEL LIRI N. 3 ; (z.d. 4)";VIA;DEL LIRI;3;3370;4;;;26
Parrucchiere per signora;"VIA DELL' UNIONE N. 4 ; (z.d. 1)";VIA;DELL' UNIONE;4;521;1;;;48
Parrucchiere per signora;"VIA DEL TORCHIO N. 3 ; (z.d. 1)";VIA;DEL TORCHIO;3;556;1;;8;34
Parrucchiere per signora;"VIA DEL TORCHIO N. 4 ; (z.d. 1)";VIA;DEL TORCHIO;4;556;1;;2;28
Parrucchiere per signora;"VIA DEL TORCHIO N. 7 ; (z.d. 1)";VIA;DEL TORCHIO;7;556;1;;;92
Parrucchiere per signora;"VIA DEL TURCHINO N. 10 ; (z.d. 4)";VIA;DEL TURCHINO;10;3337;4;;;
Parrucchiere per signora;"VIA DEL TURCHINO N. 15 ; (z.d. 4)";VIA;DEL TURCHINO;15;3337;4;;;31
Parrucchiere per signora;"VIA DEL TURCHINO N. 4 ; (z.d. 4)";VIA;DEL TURCHINO;4;3337;4;;;15
Parrucchiere per signora;"VIA DE MARCHI EMILIO N. 46 ; (z.d. 2)";VIA;DE MARCHI EMILIO;46;1418;2;;;21
Parrucchiere per signora;"VIA DERNA N. 1 ; (z.d. 2)";VIA;DERNA;1;2376;2;;;37
Parrucchiere per signora;"VIA DE RUGGIERO GUIDO N. 8 ; (z.d. 5)";VIA;DE RUGGIERO GUIDO;8;5442;5;;;
Parrucchiere per signora;"VIA DE SANCTIS FRANCESCO N. 17 ; (z.d. 5)";VIA;DE SANCTIS FRANCESCO;17;5322;5;;;35
Parrucchiere per signora;"VIA DE SANCTIS FRANCESCO N. 50 ; (z.d. 5)";VIA;DE SANCTIS FRANCESCO;50;5322;5;;;
Parrucchiere per signora;"VIA DESIDERIO N. 28 ; (z.d. 3)";VIA;DESIDERIO;28;2565;3;;;22
